num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-24 08:20:00,"La Paz, Bc",2025-01-24 16:18:00,cabotaje salida,general suelta,mercancías diversas,4171.95,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
34.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-26 08:00:00,"La Paz, Bc",2025-01-26 16:17:00,cabotaje entrada,general suelta,mercancías diversas,1498.9,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-26 08:00:00,"La Paz, Bc",2025-01-26 16:17:00,cabotaje salida,general suelta,mercancías diversas,3653.967,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
35.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-29 08:35:00,"La Paz, Bc",2025-01-29 16:36:00,cabotaje entrada,general suelta,mercancías diversas,1408.5,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-29 08:35:00,"La Paz, Bc",2025-01-29 16:36:00,cabotaje salida,general suelta,mercancías diversas,2325.85,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
36.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-02 09:50:00,"La Paz, Bc",2025-01-02 17:40:00,cabotaje entrada,general suelta,mercancías diversas,1684.6,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.8500000000000005,enero,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-02 09:50:00,"La Paz, Bc",2025-01-02 17:40:00,cabotaje salida,general suelta,mercancías diversas,1356.11,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,enero,2025
37.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-04 09:46:00,"La Paz, Bc",2025-01-04 18:16:00,cabotaje entrada,general suelta,mercancías diversas,1313.3,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.8500000000000005,enero,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-04 09:46:00,"La Paz, Bc",2025-01-04 18:16:00,cabotaje salida,general suelta,mercancías diversas,2850.71,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,enero,2025
38.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-07 09:40:00,"La Paz, Bc",2025-01-07 18:30:00,cabotaje entrada,general suelta,mercancías diversas,1525.4,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",10.0,9.0,5.8500000000000005,enero,2025
,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-07 09:40:00,"La Paz, Bc",2025-01-07 18:30:00,cabotaje entrada,general suelta,mercancías diversas,2721.67,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,enero,2025
39.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-09 09:12:00,"La Paz, Bc",2025-01-09 17:47:00,cabotaje entrada,general suelta,mercancías diversas,1260.15,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.8500000000000005,enero,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-09 09:12:00,"La Paz, Bc",2025-01-09 17:47:00,cabotaje salida,general suelta,mercancías diversas,1811.5,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,enero,2025
