num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
30.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-02 09:00:00,"La Paz, Bc",2025-04-02 16:40:00,cabotaje entrada,general suelta,mercancías diversas,2642.33,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-02 09:00:00,"La Paz, Bc",2025-04-02 16:40:00,cabotaje salida,general suelta,mercancías diversas,4294.42,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
31.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-04 08:50:00,"La Paz, Bc",2025-04-04 16:30:00,cabotaje entrada,general suelta,mercancías diversas,2162.19,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-04 08:50:00,"La Paz, Bc",2025-04-04 16:30:00,cabotaje salida,general suelta,mercancías diversas,3599.38,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
32.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-06 08:54:00,"La Paz, Bc",2025-04-06 17:16:00,cabotaje entrada,general suelta,mercancías diversas,2291.4,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-06 08:54:00,"La Paz, Bc",2025-04-06 17:16:00,cabotaje salida,general suelta,mercancías diversas,4362.428,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
33.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-09 08:58:00,"La Paz, Bc",2025-04-09 16:45:00,cabotaje entrada,general suelta,mercancías diversas,2542.54,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-09 08:58:00,"La Paz, Bc",2025-04-09 16:45:00,cabotaje salida,general suelta,mercancías diversas,4072.384,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
34.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-11 08:40:00,"La Paz, Bc",2025-04-11 17:00:00,cabotaje entrada,general suelta,mercancías diversas,2030.45,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-11 08:40:00,"La Paz, Bc",2025-04-11 17:00:00,cabotaje salida,general suelta,mercancías diversas,4349.51,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
35.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-13 09:00:00,"La Paz, Bc",2025-04-13 17:00:00,cabotaje entrada,general suelta,mercancías diversas,2764.7,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-13 09:00:00,"La Paz, Bc",2025-04-13 17:00:00,cabotaje salida,general suelta,mercancías diversas,4481.88,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
36.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-16 09:05:00,"La Paz, Bc",2025-04-16 16:41:00,cabotaje entrada,general suelta,mercancías diversas,2412.1,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-16 09:05:00,"La Paz, Bc",2025-04-16 16:41:00,cabotaje salida,general suelta,mercancías diversas,4306.34,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
37.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-18 08:15:00,"La Paz, Bc",2025-04-20 16:21:00,cabotaje entrada,general suelta,mercancías diversas,2269.53,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",56.0,55.0,35.75,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-18 08:15:00,"La Paz, Bc",2025-04-20 16:21:00,cabotaje salida,general suelta,mercancías diversas,4342.05,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
38.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-23 09:05:00,"La Paz, Bc",2025-04-23 16:24:00,cabotaje entrada,general suelta,mercancías diversas,2401.95,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-23 09:05:00,"La Paz, Bc",2025-04-23 16:24:00,cabotaje salida,general suelta,mercancías diversas,4454.2,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
39.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-25 09:00:00,"La Paz, Bc",2025-04-25 16:31:00,cabotaje entrada,general suelta,mercancías diversas,2216.89,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-25 09:00:00,"La Paz, Bc",2025-04-25 16:31:00,cabotaje salida,general suelta,mercancías diversas,4106.39,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
40.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-27 08:44:00,"La Paz, Bc",2025-04-27 16:26:00,cabotaje entrada,general suelta,mercancías diversas,2065.6,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-27 08:44:00,"La Paz, Bc",2025-04-27 16:26:00,cabotaje salida,general suelta,mercancías diversas,4176.652,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
41.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-30 09:24:00,"La Paz, Bc",2025-04-30 16:30:00,cabotaje entrada,general suelta,mercancías diversas,2456.6,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,abril,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-04-30 09:24:00,"La Paz, Bc",2025-04-30 16:30:00,cabotaje salida,general suelta,mercancías diversas,3568.54,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,abril,2025
42.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-04-01 11:30:00,"La Paz, Bc",2025-04-01 19:09:00,cabotaje entrada,general suelta,mercancías diversas,2041.5,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,abril,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-04-01 11:30:00,"La Paz, Bc",2025-04-01 19:09:00,cabotaje salida,general suelta,mercancías diversas,3333.3,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,abril,2025
43.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-04-03 10:17:00,"La Paz, Bc",2025-04-03 23:53:00,cabotaje entrada,general suelta,mercancías diversas,2107.8,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",14.0,13.0,8.450000000000001,abril,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-04-03 10:17:00,"La Paz, Bc",2025-04-03 23:53:00,cabotaje salida,general suelta,mercancías diversas,3043.88,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,abril,2025
