num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
30.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-11 08:40:00,"La Paz, Bc",2025-05-11 16:45:00,cabotaje entrada,general suelta,mercancías diversas,2451.68,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-11 08:40:00,"La Paz, Bc",2025-05-11 16:45:00,cabotaje salida,general suelta,mercancías diversas,3980.64,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
31.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-14 08:30:00,"La Paz, Bc",2025-05-14 16:19:00,cabotaje entrada,general suelta,mercancías diversas,2351.43,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-14 08:30:00,"La Paz, Bc",2025-05-14 16:19:00,cabotaje salida,general suelta,mercancías diversas,4026.91,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
32.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-16 08:45:00,"La Paz, Bc",2025-05-16 16:24:00,cabotaje entrada,general suelta,mercancías diversas,2268.95,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-16 08:45:00,"La Paz, Bc",2025-05-16 16:24:00,cabotaje salida,general suelta,mercancías diversas,3192.938,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
33.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-18 08:30:00,"La Paz, Bc",2025-05-18 16:21:00,cabotaje entrada,general suelta,mercancías diversas,2629.46,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-18 08:30:00,"La Paz, Bc",2025-05-18 16:21:00,cabotaje salida,general suelta,mercancías diversas,4080.99,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
34.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-21 08:59:00,"La Paz, Bc",2025-05-21 16:22:00,cabotaje entrada,general suelta,mercancías diversas,2852.72,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-21 08:59:00,"La Paz, Bc",2025-05-21 16:22:00,cabotaje salida,general suelta,mercancías diversas,3809.74,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
35.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-23 08:48:00,"La Paz, Bc",2025-05-23 16:17:00,cabotaje entrada,general suelta,mercancías diversas,2447.3,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
