num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
20.0,Conquista,,embarque,Mexicana,918.17,59.3,12.0,atunero,6.0,"Agropesca del Fuerte, S.A. de C.V.",Via la Pesca,2025-02-05 03:00:00,Via a la Pesca,2025-02-22 00:45:00,cabotaje salida,general suelta,sal en sacos,75.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,228.0,227.0,147.55,febrero,2025
21.0,Triton,6712344.0,embarque,Mexicana,1291.0,56.71,12.0,atunero,5.0,Pesca Industrial Atunera de Altura,Via la Pesca,2024-12-05 17:00:00,Via a la Pesca,2025-02-26 07:00:00,cabotaje salida,general suelta,sal en sacos,120.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
22.0,Constanza,,desembarque,Mexicana,1308.0,70.0,13.0,atunero,7.0,Agencia Maritima Yamilay,Via la Pesca,2025-02-01 15:30:00,Via a la Pesca,sin dato,cabotaje entrada,general suelta,sal en sacos,40.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
23.0,Jaguar,7930759.0,desembarque,Mexico,1012.75,50.35,11.0,atunero,6.0,Pesca Chiapas S.A. de C.V,Via la Pesca,2024-01-31 14:45:00,Via a la Pesca,2025-02-04 21:54:00,cabotaje entrada,general suelta,atún,538.002,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,77.0,76.0,49.4,febrero,2025
24.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-02 08:30:00,"La Paz, Bc",2025-02-02 16:39:00,cabotaje entrada,general suelta,mercancías diversas,1475.48,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,febrero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-02 08:30:00,"La Paz, Bc",2025-02-02 16:39:00,cabotaje salida,general suelta,mercancías diversas,4456.526,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,febrero,2025
25.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-05 08:36:00,"La Paz, Bc",2025-02-05 16:19:00,cabotaje entrada,general suelta,mercancías diversas,1437.55,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,febrero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-05 08:36:00,"La Paz, Bc",2025-02-05 16:19:00,cabotaje salida,general suelta,mercancías diversas,3303.08,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,febrero,2025
26.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-07 08:36:00,"La Paz, Bc",2025-02-07 16:22:00,cabotaje entrada,general suelta,mercancías diversas,1340.17,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,febrero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-07 08:36:00,"La Paz, Bc",2025-02-07 16:22:00,cabotaje salida,general suelta,mercancías diversas,2335.9,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,febrero,2025
27.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-09 08:36:00,"La Paz, Bc",2025-02-09 16:40:00,cabotaje entrada,general suelta,mercancías diversas,1757.31,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,febrero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-09 08:36:00,"La Paz, Bc",2025-02-09 16:40:00,cabotaje salida,general suelta,mercancías diversas,4185.13,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,febrero,2025
28.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-12 08:45:00,"La Paz, Bc",2025-02-12 17:00:00,cabotaje entrada,general suelta,mercancías diversas,2374.45,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,febrero,2025
