num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
,Houston Harmony,9845984.0,embarque,Panama,24331.0,182.87,31.0,carguero,10.0,North Bridge Navigation Inc,"Nagoya, Japon",2025-03-21 08:25:00,"Manzanillo, Col",2025-03-23 11:05:00,altura / exportación,general suelta,camiones,17.51,,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
19.0,Boston Harmony,9755701.0,desembarque,Panama,24328.0,183.0,31.0,carguero,10.0,Kawasaki Kisen Kaisha Ltd,"Kiunura, Japon",2025-03-22 12:15:00,"Balboa, Panama",2025-03-25 07:10:00,altura / importación,general suelta,rollos de lamina,15909.325,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,59.0,58.0,37.7,marzo,2025
20.0,Ocean Amitie,9789051.0,desembarque,Panama,23570.0,180.0,30.0,carguero,10.0,American Queen Steamboat Operating Company Llc,"Osaka, Japon",2025-03-27 05:30:00,"Manzanillo, Col",2025-03-29 16:25:00,altura / importación,general suelta,rollos de lamina,6362.42,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,57.0,56.0,36.4,marzo,2025
,Ocean Amitie,9789051.0,desembarque,Panama,23570.0,180.0,30.0,carguero,10.0,American Queen Steamboat Operating Company Llc,"Osaka, Japon",2025-03-27 05:30:00,"Manzanillo, Col",2025-03-29 16:25:00,altura / importación,general suelta,varios,954.42,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
21.0,Ultra Esterhazy,9643946.0,desembarque,Panama,23264.0,180.0,30.0,carguero,10.0,Pan Ocean Co Ltd,"Ensenada, B.C.",2025-03-30 19:48:00,"Manzanillo, Col",2025-03-31 21:30:00,altura / importación,general suelta,rollos de lamina,3027.685,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
22.0,Maria Beatriz,,desembarque,Mexicana,891.98,53.64,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-03-01 03:00:00,Via la Pesca,2025-03-12 10:07:00,cabotaje entrada,general suelta,atún,271.304,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
,Maria Beatriz,,embarque,Mexicana,891.98,53.64,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-03-01 03:00:00,Via la Pesca,2025-03-12 10:07:00,cabotaje salida,general suelta,sal en sacos,25.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
23.0,Mazcu I,,desembarque,Mexicana,205.92,32.98,9.0,atunero,5.0,"Pesquera Mazcu I, S.A. de C.V.",Via la Pesca,2025-03-20 06:25:00,Via la Pesca,2025-03-25 17:38:00,cabotaje entrada,general suelta,atún,196.567,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,132.0,131.0,85.15,marzo,2025
,Mazcu I,,embarque,Mexicana,205.92,32.98,9.0,atunero,5.0,"Pesquera Mazcu I, S.A. de C.V.",Via la Pesca,2025-03-20 06:25:00,Via la Pesca,2025-03-25 17:38:00,cabotaje salida,general suelta,sal en sacos,7.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
24.0,Jaguar,7930759.0,desembarque,Mexico,1012.75,50.35,11.0,atunero,6.0,Pesca Chiapas S.A. de C.V,Via la Pesca,2025-02-25 04:10:00,Via la Pesca,2025-03-09 10:19:00,cabotaje entrada,general suelta,atún,6.28,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,294.0,293.0,190.45,marzo,2025
