num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
39.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-10 10:15:00,"La Paz, Bc",2025-06-10 18:39:00,cabotaje entrada,general suelta,mercancías diversas,1886.9,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,junio,2025
40.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-12 10:30:00,"La Paz, Bc",2025-06-12 18:48:00,cabotaje entrada,general suelta,mercancías diversas,3015.45,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,junio,2025
41.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-14 10:10:00,"La Paz, Bc",2025-06-14 18:37:00,cabotaje entrada,general suelta,mercancías diversas,2719.04,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,junio,2025
42.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-17 11:02:00,"La Paz, Bc",2025-06-17 18:45:00,cabotaje entrada,general suelta,mercancías diversas,2650.7,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",8.0,7.0,4.55,junio,2025
43.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-19 10:30:00,"La Paz, Bc",2025-06-19 18:17:00,cabotaje entrada,general suelta,mercancías diversas,2680.9,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",8.0,7.0,4.55,junio,2025
44.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-21 16:20:00,"La Paz, Bc",2025-06-22 01:30:00,cabotaje entrada,general suelta,mercancías diversas,2638.2,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",10.0,9.0,5.85,junio,2025
45.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-24 10:13:00,"La Paz, Bc",2025-06-24 18:42:00,cabotaje entrada,general suelta,mercancías diversas,2657.0,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,junio,2025
46.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-26 10:08:00,"La Paz, Bc",2025-06-26 18:14:00,cabotaje entrada,general suelta,mercancías diversas,2779.5,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,junio,2025
47.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-28 10:16:00,"La Paz, Bc",2025-06-28 18:48:00,cabotaje entrada,general suelta,mercancías diversas,2393.3,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,junio,2025
58.0,Nyk Joanna,9387449.0,descarga,singapur,27003.0,210.0,30.0,contenedor,12.0,Ocean Network Express (One),"Los Angeles, Ca",2025-06-06 13:10:00,"Manzanillo, Col",2025-06-07 15:40:00,altura / importación,general contenerizada,contenedores,108.64,,,6.0,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,9.0,8.0,5.2,junio,2025
